pde,task,baseline,seed,split,train_size,val_size,test_size,train_shards,data_root,file_paths_summary,scalar_param_mode,pde_params_available,input_channel_names,target_channel_names,num_sensors,sensor_mode,noise_level,mask_id,backend_used,official_backend,fallback_used,backend_warning,residual_mode_counts,inference_time_total,inference_time_per_sample,inference_optimization_time_total,inference_optimization_time_per_sample,relative_l2_solution_mean,relative_l2_solution_std,relative_l2_solution_sem,relative_l2_solution_ci95,relative_l2_solution_n,relative_l2_solution_nan_count,relative_l2_input_or_coeff_mean,relative_l2_input_or_coeff_std,relative_l2_input_or_coeff_sem,relative_l2_input_or_coeff_ci95,relative_l2_input_or_coeff_n,relative_l2_input_or_coeff_nan_count,mse_mean,mse_std,mse_sem,mse_ci95,mse_n,mse_nan_count,mae_mean,mae_std,mae_sem,mae_ci95,mae_n,mae_nan_count,obs_mse_mean,obs_mse_std,obs_mse_sem,obs_mse_ci95,obs_mse_n,obs_mse_nan_count,pde_residual_mean,pde_residual_std,pde_residual_sem,pde_residual_ci95,pde_residual_n,pde_residual_nan_count,bc_residual_mean,bc_residual_std,bc_residual_sem,bc_residual_ci95,bc_residual_n,bc_residual_nan_count,ic_residual_mean,ic_residual_std,ic_residual_sem,ic_residual_ci95,ic_residual_n,ic_residual_nan_count,physics_loss_mean,physics_loss_std,physics_loss_sem,physics_loss_ci95,physics_loss_n,physics_loss_nan_count,train_time,num_params,config_path,checkpoint_path,train_history_path,commit_hash,dry_run,synthetic_data,experiment_mode,train_history
darcy,forward,fno,1,test,8,0,4,5,/home/tat512/C01Python/PDEdata,"{""test"": {""count"": 0, ""first"": []}, ""train"": {""count"": 0, ""first"": []}, ""val"": {""count"": 0, ""first"": []}}",metadata,[],"[""p""]","[""p""]",500,random,0.0,4bb0262c797f9507,recfno,recfno,False,,"{""steady_dirichlet"": 2}",0.011169904028065503,0.0027924760070163757,0.0,0.0,1.0004720091819763,0.0005491004219902293,0.00027455021099511464,0.0005381184135504247,4,0,nan,nan,nan,nan,0,2,1.0035042613744736,0.030849925627951674,0.015424962813975837,0.03023292711539264,4,0,0.8036806136369705,0.013306720751376174,0.006653360375688087,0.01304058633634865,4,0,0.9775611162185669,0.059999579190532566,0.04242610931396484,0.08315517425537108,2,0,1.1120962500572205,0.004339860991166758,0.003068745136260986,0.006014740467071532,2,0,0.00153591443086043,1.5211554953765836e-06,1.0756193660199642e-06,2.1082139573991297e-06,2,0,0.0,0.0,0.0,0.0,2,0,1.1136321425437927,0.004341378277713151,0.0030698180198669434,0.006016843318939209,2,0,0.8989347969763912,669377,outputs/baselines/fno_darcy_forward_seed1_config.json,,outputs/baselines/fno_darcy_forward_seed1_train_history.json,1a5e6ef25b740bd29088a2d7429405fc6dc1abfa,True,True,debug,"{""train_loss"": [0.9930583238601685], ""val_loss"": [], ""best_epoch"": null, ""best_val_loss"": null}"
darcy,forward,fno,1,test,8,0,4,5,/home/tat512/C01Python/PDEdata,"{""test"": {""count"": 0, ""first"": []}, ""train"": {""count"": 0, ""first"": []}, ""val"": {""count"": 0, ""first"": []}}",metadata,[],"[""a""]","[""p""]",0,none,0.0,,recfno,recfno,False,,"{""steady_dirichlet"": 2}",0.01244584796950221,0.0031114619923755527,0.0,0.0,1.0004720091819763,0.0005491004219902293,0.00027455021099511464,0.0005381184135504247,4,0,nan,nan,nan,nan,0,2,1.0035042613744736,0.030849925627951674,0.015424962813975837,0.03023292711539264,4,0,0.8036806136369705,0.013306720751376174,0.006653360375688087,0.01304058633634865,4,0,nan,nan,nan,nan,0,2,1.1120962500572205,0.004339860991166758,0.003068745136260986,0.006014740467071532,2,0,0.00153591443086043,1.5211554953765836e-06,1.0756193660199642e-06,2.1082139573991297e-06,2,0,0.0,0.0,0.0,0.0,2,0,1.1136321425437927,0.004341378277713151,0.0030698180198669434,0.006016843318939209,2,0,0.974873633007519,669377,outputs/baselines/fno_darcy_forward_seed1_config.json,,outputs/baselines/fno_darcy_forward_seed1_train_history.json,1a5e6ef25b740bd29088a2d7429405fc6dc1abfa,True,True,debug,"{""train_loss"": [0.9930583238601685], ""val_loss"": [], ""best_epoch"": null, ""best_val_loss"": null}"
poisson,sparse_solution,recfno,1,test,8,0,4,5,/home/tat512/C01Python/PDEdata,"{""test"": {""count"": 0, ""first"": []}, ""train"": {""count"": 0, ""first"": []}, ""val"": {""count"": 0, ""first"": []}}",metadata,[],"[""phi""]","[""phi""]",50,random,0.0,86e7ebca042519f9,recfno,recfno,False,,"{""steady_dirichlet"": 2}",0.011714038031641394,0.0029285095079103485,0.0,0.0,1.0010534524917603,0.0007434122791258309,0.00037170613956291545,0.0007285440335433143,4,0,nan,nan,nan,nan,0,2,1.0046792179346085,0.031257450229497254,0.015628725114748627,0.03063230122490731,4,0,0.8039416074752808,0.013470877027633325,0.006735438513816663,0.01320145948708066,4,0,0.9313569366931915,0.08012718601854661,0.05665847659111022,0.11105061411857603,2,0,1.8883825540542603,0.10651773024158248,0.07531940937042235,0.1476260423660278,2,0,0.003010351792909205,1.0074084610865648e-06,7.123453542590141e-07,1.3961968943476677e-06,2,0,0.0,0.0,0.0,0.0,2,0,1.8913929462432861,0.10651671871721823,0.07531869411468506,0.1476246404647827,2,0,0.855045030999463,669401,outputs/baselines/recfno_poisson_sparse_solution_seed1_config.json,,outputs/baselines/recfno_poisson_sparse_solution_seed1_train_history.json,1a5e6ef25b740bd29088a2d7429405fc6dc1abfa,True,True,debug,"{""train_loss"": [0.9837773442268372], ""val_loss"": [], ""best_epoch"": null, ""best_val_loss"": null}"
heat,forward,fno,1,test,8,0,4,5,/home/tat512/C01Python/PDEdata,"{""test"": {""count"": 0, ""first"": []}, ""train"": {""count"": 0, ""first"": []}, ""val"": {""count"": 0, ""first"": []}}",metadata,"[""alpha""]","[""u0""]","[""uT""]",0,none,0.0,,recfno,recfno,False,,"{""two_level"": 2}",0.01036187302088365,0.0025904682552209124,0.0,0.0,1.0004409849643707,0.00044381980187314186,0.00022190990093657093,0.000434943405835679,4,0,nan,nan,nan,nan,0,2,1.0079849362373352,0.03828143704709701,0.019140718523548504,0.037515808306155064,4,0,0.801508903503418,0.007015435017660376,0.003507717508830188,0.006875126317307169,4,0,nan,nan,nan,nan,0,2,7.356385946273804,0.1321721797553756,0.0934598445892334,0.18318129539489747,2,0,1.6809372901916504,0.031569506821206024,0.022323012351989746,0.043753104209899904,2,0,0.0,0.0,0.0,0.0,2,0,9.037323474884033,0.10060284152156362,0.0711369514465332,0.13942842483520507,2,0,0.8382022239966318,669377,outputs/baselines/fno_heat_forward_seed1_config.json,,outputs/baselines/fno_heat_forward_seed1_train_history.json,1a5e6ef25b740bd29088a2d7429405fc6dc1abfa,True,True,debug,"{""train_loss"": [1.0190389156341553], ""val_loss"": [], ""best_epoch"": null, ""best_val_loss"": null}"
heat,forward,fno,1,test,8,8,8,8,8,0,0,none,,4,5,eager,False,False,8,8,/home/tat512/C01Python/PDEdata,"{""test"": {""count"": 0, ""first"": []}, ""train"": {""count"": 0, ""first"": []}, ""val"": {""count"": 0, ""first"": []}}",materialize,materialize,materialize,True,"[""alpha""]","[""u0"", ""alpha""]","[""uT"", ""alpha_T""]",0,none,none,none,True,0.0,,recfno,recfno,False,,per_sample,2,"{""two_level"": 4}",{},0.010700799990445375,0.002675199997611344,0.0,0.0,0.9999772012233734,0.0001702033531516617,8.510167657583085e-05,0.00016679928608862848,4,0,nan,nan,nan,nan,0,4,0.5035178065299988,0.018843860618288084,0.009421930309144042,0.018466983405922323,4,0,0.4007352814078331,0.0034534919478799637,0.0017267459739399818,0.0033844221089223644,4,0,nan,nan,nan,nan,0,4,nan,nan,nan,nan,0,4,nan,nan,nan,nan,0,4,7.353308081626892,0.40288399156824833,0.20144199578412417,0.3948263117368834,4,0,1.680937021970749,0.07051377798827507,0.035256888994137536,0.06910350242850957,4,0,0.0,0.0,0.0,0.0,4,0,9.034245014190674,0.4018959576785081,0.20094797883925405,0.39385803852493795,4,0,0.9500250119599514,669530,outputs/baselines/fno_heat_forward_seed1_config.json,,outputs/baselines/fno_heat_forward_seed1_train_history.json,37159e8ecef6f05d27890d58a5ee779470131a38,True,True,debug,"{""train_loss"": [0.49287858605384827], ""val_loss"": [], ""best_epoch"": null, ""best_val_loss"": null}"
poisson,inverse,fno,1,test,8,8,8,8,8,0,0,none,,4,5,eager,False,False,8,8,/home/tat512/C01Python/PDEdata,"{""test"": {""count"": 0, ""first"": []}, ""train"": {""count"": 0, ""first"": []}, ""val"": {""count"": 0, ""first"": []}}",metadata,metadata,metadata,False,[],"[""phi""]","[""f""]",0,none,none,none,True,0.0,,recfno,recfno,False,,per_sample,2,"{""steady_dirichlet"": 4}",{},0.014435404969844967,0.0036088512424612418,0.0,0.0,1.0000019520521164,0.0004954141476209505,0.00024770707381047526,0.0004855058646685315,4,0,1.0000019520521164,0.0004954141476209505,0.00024770707381047526,0.0004855058646685315,4,0,1.032191902399063,0.033251728150594566,0.016625864075297283,0.03258669358758268,4,0,0.8070245832204819,0.008613208245434054,0.004306604122717027,0.008440944080525373,4,0,nan,nan,nan,nan,0,4,nan,nan,nan,nan,0,4,nan,nan,nan,nan,0,4,18277006.5,790138.312281042,395069.156140521,774335.5460354211,4,0,0.9524444788694382,0.12825196557240126,0.06412598278620063,0.12568692626095324,4,0,0.0,0.0,0.0,0.0,4,0,18277007.0,790138.3620953147,395069.18104765733,774335.5948534084,4,0,0.8233350780210458,669377,outputs/baselines/fno_poisson_inverse_seed1_config.json,,outputs/baselines/fno_poisson_inverse_seed1_train_history.json,37159e8ecef6f05d27890d58a5ee779470131a38,True,True,debug,"{""train_loss"": [0.9874354004859924], ""val_loss"": [], ""best_epoch"": null, ""best_val_loss"": null}"
poisson,sparse_solution,recfno,1,test,8,8,8,8,8,0,0,none,,4,5,eager,False,False,8,8,/home/tat512/C01Python/PDEdata,"{""test"": {""count"": 0, ""first"": []}, ""train"": {""count"": 0, ""first"": []}, ""val"": {""count"": 0, ""first"": []}}",metadata,metadata,metadata,False,[],"[""phi""]","[""phi""]",50,random,random,random,True,0.05,86e7ebca042519f9,recfno,recfno,False,,per_sample,2,"{""steady_dirichlet"": 4}",{},0.012014665000606328,0.003003666250151582,0.0,0.0,1.002164512872696,0.0009169259672442071,0.00045846298362210356,0.0008985874478993229,4,0,nan,nan,nan,nan,0,4,1.0068400651216507,0.028089471572851722,0.014044735786425861,0.02752768214139469,4,0,0.8059281408786774,0.012148034343557023,0.006074017171778512,0.011905073656685883,4,0,0.9348848760128021,0.20713803148195628,0.10356901574097814,0.20299527085231714,4,0,0.9348848760128021,0.20713803148195628,0.10356901574097814,0.20299527085231714,4,0,0.928754597902298,0.20901280085765797,0.10450640042882899,0.2048325448405048,4,0,1.3229163587093353,0.06382217949971368,0.03191108974985684,0.0625457359097194,4,0,0.0035131170880049467,1.2174407785774472e-06,6.087203892887236e-07,1.1930919630058983e-06,4,0,0.0,0.0,0.0,0.0,4,0,1.3264294862747192,0.06382204187426946,0.03191102093713473,0.06254560103678407,4,0,0.8384753769496456,669401,outputs/baselines/recfno_poisson_sparse_solution_seed1_config.json,,outputs/baselines/recfno_poisson_sparse_solution_seed1_train_history.json,37159e8ecef6f05d27890d58a5ee779470131a38,True,True,debug,"{""train_loss"": [1.0328664779663086], ""val_loss"": [], ""best_epoch"": null, ""best_val_loss"": null}"
